name,salary_from,salary_to,salary_currency,area_name,published_at
Наладчик производственного оборудования (стажер. готовы обучить ),40000,,RUR,Берёзовский,2022-12-15T05:09:17+0300
Оператор станка с ЧПУ,35000,,RUR,Топки,2022-12-15T05:23:41+0300
"Оператор/оператор-технолог токарного, фрезерного станков с ЧПУ",60000,75000,RUR,Новосибирск,2022-12-15T05:40:19+0300
Фрезеровщик,40000,45000,RUR,Барнаул,2022-12-15T05:02:49+0300
1С Программист,,,,,2022-12-15T05:43:27+0300
1С Программист,,,,,2022-12-15T05:42:23+0300
Инженер по продуктам/Product manager,,,,Новосибирск,2022-12-15T05:34:16+0300
Ведущий администратор вычислительной сети,46000,46000,RUR,Омск,2022-12-15T05:56:59+0300
Токарь-расточник,60000,,RUR,Емельяновский район,2022-12-15T05:05:41+0300
Токарь,47000,,RUR,Новокузнецк,2022-12-15T05:58:57+0300
Full Stack PHP Developer,120000,,RUR,,2022-12-15T05:48:38+0300
Middle QA engineer/Линейный тестировщик ПО,,,,Новосибирск,2022-12-15T05:34:45+0300
Механик (ремонт горного оборудования),89590,,RUR,,2022-12-15T05:12:51+0300
"Ведущий инженер программист, отдел прикладного программного обеспечения",,,,,2022-12-15T05:57:01+0300
Ведущий инженер отдела прикладного программного обеспечения,,,,,2022-12-15T05:57:04+0300
Инженер-аналитик,44000,,RUR,Новокузнецк,2022-12-15T05:58:58+0300
Токарь,60000,,RUR,Челябинск,2022-12-15T06:01:32+0300
Графический дизайнер,,,,,2022-12-15T06:40:12+0300
Начальник отдела по организации планово-предупредительных ремонтов,180000,200000,RUR,,2022-12-15T06:23:24+0300
"Бизнес-аналитик (Внедрение управленческого учета, 1С КА)",,,,Москва,2022-12-15T06:57:33+0300
Инженер технической поддержки,42000,,RUR,Уфа,2022-12-15T06:51:37+0300
Механик автомобильного транспорта,200000,,KZT,,2022-12-15T06:32:17+0300
Андроид разработчик,700000,,KZT,,2022-12-15T06:57:08+0300
Выездной системный администратор (ведущий специалист),50000,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Ведущий программист 1С,,,,,2022-12-15T06:47:26+0300
Механик,70000,70000,RUR,Тында,2022-12-15T06:44:39+0300
Digital marketing manager,,,,,2022-12-15T06:58:33+0300
Начальник отдела обслуживания инфраструктуры ЦОД,90000,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Ведущий специалист (информационная безопасность),,,,,2022-12-15T06:50:12+0300
Ведущий инженер-программист,30000,35000,RUR,Челябинск,2022-12-15T06:59:42+0300
Главный специалист (сопровождение ПО),,,,,2022-12-15T06:44:37+0300
Главный специалист (информационная безопасность),,,,,2022-12-15T06:47:59+0300
"Менеджер по проектированию торгового пространства (ул. 2-я Шоссейная, 3А)",70000,,RUR,,2022-12-15T06:42:49+0300
Оператор-наладчик на производственную линию (производство бумажных пакетов),30000,45000,RUR,Омск,2022-12-15T06:14:47+0300
Ведущий специалист по системам связи и телекоммуникациям,50000,,RUR,Екатеринбург,2022-12-15T06:06:39+0300
Оператор станков с ЧПУ,50000,,RUR,Пермь,2022-12-15T06:34:08+0300
Энергомеханик,240000,,KZT,поселок 71-й Разъезд,2022-12-15T06:33:45+0300
Консультант-аналитик программ 1С,,,,Омск,2022-12-15T06:13:21+0300
Преподаватель (Грузоподъемные механизмы),26000,32000,RUR,Ачинск,2022-12-15T06:23:27+0300
Преподаватель технического обслуживания и ремонта автотранспорта,26000,32000,RUR,Ачинск,2022-12-15T06:23:02+0300
Фрезеровщик,55000,,RUR,Уфа,2022-12-15T06:30:23+0300
Инженер-электроник Инженер АСУ ТП программист,,,,Владивосток,2022-12-15T06:38:07+0300
Инженер по информационной безопасности,100000,,RUR,Екатеринбург,2022-12-15T06:47:27+0300
Мастер производственного обучения по слесарному делу,30000,35000,RUR,Ачинск,2022-12-15T06:19:47+0300
Главный механик в производстве,,,,село Маячный,2022-12-15T06:20:11+0300
Монтажник ВОЛС,50000,,RUR,,2022-12-15T06:01:21+0300
DevOps инженер (Junior / Middle),,,,Сочи,2022-12-15T06:25:08+0300
Резчик на пилах ножовках и станках,30000,,RUR,Пермь,2022-12-15T06:51:04+0300
"Менеджер по развитию розничной сети (ул. 2-я Шоссейная, 3А)",70000,120000,RUR,Владивосток,2022-12-15T06:42:45+0300
Ведущий программист 1С,,,,,2022-12-15T06:47:26+0300
Техник ОПС,50000,,RUR,Томск,2022-12-15T06:29:30+0300
Ведущий программист 1С,,,,,2022-12-15T06:47:26+0300
Программист 1C 8,,,,Барнаул,2022-12-15T06:20:09+0300
.NET разработчик (Middle),,,,Сочи,2022-12-15T06:18:53+0300
Инженер-программист Embedded Linux,60000,,RUR,Екатеринбург,2022-12-15T06:09:20+0300
"Менеджер по развитию розничной сети (ул. 2-я Шоссейная, 3А)",70000,120000,RUR,Владивосток,2022-12-15T06:42:41+0300
Инженер по IP-телефонии (главный специалист),60000,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Ведущий инженер-программист 1С,90000,,RUR,Челябинск,2022-12-15T06:44:55+0300
Ведущий программист 1С,,,,,2022-12-15T06:47:26+0300
Unity разработчик (Middle),,,,Екатеринбург,2022-12-15T06:18:04+0300
PHP разработчик,,,,Сочи,2022-12-15T06:37:31+0300
Программист 1С,,,,Москва,2022-12-15T06:58:02+0300
Unity разработчик (Middle),,,,Сочи,2022-12-15T06:19:23+0300
"Менеджер по проектированию торгового пространства (ул. 2-я Шоссейная, 3А)",70000,,RUR,,2022-12-15T06:42:53+0300
DevOps инженер (Junior / Middle),,,,Екатеринбург,2022-12-15T06:24:49+0300
Дизайнер,150000,300000,KZT,город Алматы,2022-12-15T07:13:51+0300
Стажер-Автотестирование (Java),,20000,RUR,Уфа,2022-12-15T07:09:37+0300
Оператор станков с ЧПУ,50000,,RUR,Иркутск,2022-12-15T07:00:51+0300
Ведущий инженер по ИТ (дочернее общество ПАО «НК «Роснефть»),67000,,RUR,муниципальное образование Город Екатеринбург,2022-12-15T07:34:57+0300
Инженер по программному обеспечению и информационной безопасности,120000,130000,KZT,Алматы,2022-12-15T07:15:41+0300
Аналитик отдела продаж,120000,,RUR,,2022-12-15T07:56:47+0300
Оператор ЧПУ (ученик),52000,59000,RUR,Челябинск,2022-12-15T07:51:27+0300
Программист-разработчик,,,,Новокузнецк,2022-12-15T07:13:39+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Менеджер проектов,600000,600000,KZT,,2022-12-15T07:08:25+0300
Главный механик,150000,150000,RUR,Сургут,2022-12-15T07:46:19+0300
Разработчик .net Middle/Senior,,,,Челябинск,2022-12-15T07:40:53+0300
Подменный Механик автоколонны,30000,30000,RUR,Красноярск,2022-12-15T07:45:08+0300
Системный администратор,45000,,RUR,деревня Нелюбино,2022-12-15T07:43:11+0300
Заместитель начальника отдела планирования и учета программ и проектов,60000,,RUR,Уфа,2022-12-15T07:13:06+0300
Инженер по надзору за монтажом слаботочных систем,,,,,2022-12-15T07:13:02+0300
Программист,70000,,RUR,Пенза,2022-12-15T07:51:20+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Менеджер по продажам сельхозтехники и спецтехники,100000,600000,RUR,Уфа,2022-12-15T07:29:21+0300
Системный аналитик/Бизнес-аналитик,,,,,2022-12-15T07:57:16+0300
Начальник участка технического обслуживания,,,,Златоуст,2022-12-15T07:33:27+0300
Младший программист 1С,40000,,RUR,Ижевск,2022-12-15T07:39:52+0300
Фрезеровщик (г. Ижевск),100000,,RUR,,2022-12-15T07:36:22+0300
Начальник Отдела информационных технологий,,,,,2022-12-15T07:37:55+0300
Инсталлятор,45000,,RUR,,2022-12-15T07:24:10+0300
Специалист отдела информационных технологий,45000,,RUR,,2022-12-15T07:10:22+0300
Координатор (менеджер/руководитель проекта) по этнокультурным проектам,300000,350000,KZT,,2022-12-15T07:44:33+0300
Инженер электромеханического ремонта,70000,120000,RUR,,2022-12-15T07:26:45+0300
Механик-наладчик производственного оборудования,60000,70000,RUR,Солнечногорск,2022-12-15T07:53:59+0300
Инсталлятор,48000,,RUR,,2022-12-15T07:08:05+0300
Электромонтажник РЭА,,,,Таганрог,2022-12-15T07:03:39+0300
Токарь-универсал 5 разряда,132000,147000,RUR,,2022-12-15T07:35:42+0300
Инженер систем связи,39000,,RUR,Дюртюли,2022-12-15T07:09:58+0300
Оператор ЧПУ (Ижевск),110000,,RUR,,2022-12-15T07:32:04+0300
PHP-программист,,,,Владивосток,2022-12-15T07:08:00+0300
Специалист Техподдержки/Системный администратор,30000,,RUR,Тольятти,2022-12-15T07:15:44+0300
Механик,,73500,RUR,,2022-12-15T07:18:45+0300
Инженер-механик,,60000,RUR,Воронеж,2022-12-15T07:04:16+0300
Токарь-универсал,180000,,KZT,Алматы,2022-12-15T07:29:31+0300
Руководитель по работе с проектными институтами,80000,150000,RUR,Екатеринбург,2022-12-15T07:38:09+0300
Специалист первой линии технической поддержки,,,,Ижевск,2022-12-15T07:37:28+0300
Аналитик отдела продаж,,,,,2022-12-15T07:56:47+0300
Специалист технической поддержки,52000,,RUR,Екатеринбург,2022-12-15T07:18:24+0300
Менеджер администрирования сайтов,,,,,2022-12-15T07:22:55+0300
Шлифовщик-токарь (г.Ижевск),100000,,RUR,,2022-12-15T07:34:09+0300
Программист,,,,село Красная Нива,2022-12-15T07:19:32+0300
Специалист по защите информации,,,,Томск,2022-12-15T07:12:22+0300
Аналитик инвестиционного проекта,90000,,RUR,Новокузнецк,2022-12-15T07:54:39+0300
Оператор станка,40000,55000,RUR,село Клещевка,2022-12-15T07:53:09+0300
Менеджер по развитию бизнеса (Информационная безопасность),,,,,2022-12-15T07:19:06+0300
"Расточник, Ижевск",120000,,RUR,,2022-12-15T07:33:36+0300
Специалист технической поддержки,35000,50000,RUR,поселок городского типа Стройкерамика,2022-12-15T07:48:11+0300
Старший электромеханик,50000,52000,RUR,,2022-12-15T07:51:52+0300
Frontend-разработчик (Vue.Js),,,,,2022-12-15T07:48:20+0300
Монтажник РЭАиП,,60000,RUR,Омск,2022-12-15T07:17:05+0300
Руководитель проекта (Дорожное строительство),,,,,2022-12-15T07:20:48+0300
"Расточник, Ижевск",120000,,RUR,,2022-12-15T07:33:20+0300
Токарь,,,,Подольск,2022-12-15T07:14:37+0300
Оператор-резчик металла на ножницах и прессах (производство),40000,60000,RUR,Новосибирск,2022-12-15T07:10:41+0300
Менеджер проектов (стройка),,,,Новосибирск,2022-12-15T07:20:31+0300
IOS разработчик,,,,,2022-12-15T07:54:23+0300
Android-разработчик,,,,,2022-12-15T07:57:34+0300
Зуборезчик (Ижевск),100000,,RUR,,2022-12-15T07:33:52+0300
PHP-разработчик (Laravel),120000,,RUR,Санкт-Петербург,2022-12-15T07:14:23+0300
Специалист по анализу и разработке производственных технологий,,,,,2022-12-15T07:14:55+0300
Главный специалист по предиктивной диагностике в единой службе диагностики дирекции по ремонтам,,,,,2022-12-15T07:34:13+0300
Механик по ремонту оборудования,40000,50000,RUR,,2022-12-15T07:42:34+0300
Менеджер проектов,,,,Томск,2022-12-15T07:12:18+0300
Оператор электроэрозионного станка с ЧПУ,40000,,RUR,Киров,2022-12-15T07:21:47+0300
Аналитик по запуску новой продукции,,,,Ижевск,2022-12-15T07:36:45+0300
Помощник андеррайтера/специалиста по рассмотрению заявок,33000,36000,RUR,Уфа,2022-12-15T07:23:52+0300
Специалист по диспетчеризации лифтов,350000,500000,KZT,,2022-12-15T07:55:30+0300
Менеджер по составлению коммерческих предложений/Тендер-менеджер,,,,,2022-12-15T07:55:43+0300
Начальник производства (телеком),,,,Барнаул,2022-12-15T07:06:23+0300
Токарь-карусельщик,120000,130000,RUR,,2022-12-15T07:56:44+0300
Токарь-расточник,120000,130000,RUR,,2022-12-15T07:56:24+0300
Системный администратор,,,,Екатеринбург,2022-12-15T07:34:54+0300
Руководитель проекта (Дорожное строительство),,,,,2022-12-15T07:20:40+0300
Механик ремонтник/механик-наладчик,,,,Подольск,2022-12-15T07:16:27+0300
Дизайнер,,,,,2022-12-15T07:21:06+0300
Специалист по анализу и разработке производственных технологий,,,,,2022-12-15T07:14:55+0300
Специалист по анализу и разработке производственных технологий,,,,,2022-12-15T07:14:55+0300
Программист 1С,,,,,2022-12-15T07:29:58+0300
Старший электромеханик,50000,52000,RUR,,2022-12-15T07:51:52+0300
Эксперт SAP PPM (удаленная работа),250000,350000,RUR,,2022-12-15T07:47:23+0300
Главный механик,70000,70000,RUR,Челябинск,2022-12-15T07:09:26+0300
Токарь-универсал,53000,57000,RUR,Томск,2022-12-15T07:04:30+0300
Системный администратор Linux,,,,,2022-12-15T07:52:12+0300
Руководитель транспортного отдела/ начальник транспортного участка,80000,100000,RUR,Екатеринбург,2022-12-15T07:59:56+0300
Электромеханик по лифтам аварийной службы,180000,250000,KZT,,2022-12-15T07:46:50+0300
Главный специалист по предиктивной диагностике в единой службе диагностики дирекции по ремонтам,,,,,2022-12-15T07:34:13+0300
Сборщик каркасов мягкой мебели,35000,45000,RUR,Тюмень,2022-12-15T07:15:58+0300
Менеджер по анализу и планированию,36250,36250,RUR,,2022-12-15T07:08:49+0300
Программист 1С,80000,,RUR,,2022-12-15T07:04:16+0300
Программист-разработчик 1С,80000,,RUR,Ижевск,2022-12-15T07:39:48+0300
Аналитик отдела продаж,,,,,2022-12-15T07:56:47+0300
Механик-контролер,25000,,RUR,Кузнецк,2022-12-15T07:35:29+0300
Руководитель проектных продаж,50000,200000,RUR,Екатеринбург,2022-12-15T07:34:54+0300
Технический директор,45000,,RUR,Первоуральск,2022-12-15T07:40:24+0300
Flutter разработчик (junior),200000,300000,KZT,Алматы,2022-12-15T08:39:33+0300
Frontend разработчик на Vue.js,,,,,2022-12-15T08:06:55+0300
Инженер КИПиА,40000,80000,RUR,Киров,2022-12-15T08:45:35+0300
Помощник машиниста экструдера,58000,,RUR,Екатеринбург,2022-12-15T08:22:13+0300
Оператор станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:57:47+0300
DevOps specialist,500000,800000,KZT,Алматы,2022-12-15T08:15:56+0300
Инженер сервисной службы систем отопления,100000,,RUR,,2022-12-15T08:38:35+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:51:31+0300
Системный администратор,30000,40000,RUR,Оренбург,2022-12-15T08:47:14+0300
Разработчик PHP,,300000,RUR,,2022-12-15T08:50:09+0300
Оператор станков с ЧПУ,40000,60000,RUR,,2022-12-15T08:09:11+0300
Механик по транспорту АТ и ДСТ,130000,140000,RUR,,2022-12-15T08:14:53+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
Техник по информационным системам,40000,40000,RUR,село Тимирязевское,2022-12-15T08:16:58+0300
"Проектный менеджер Департамента управления ОФД ДКБ, г. Алматы",,,,,2022-12-15T08:11:42+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000,,RUR,,2022-12-15T08:56:27+0300
Менеджер проектов (Департамент клиентского сервиса),,,,Москва,2022-12-15T08:54:52+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Инженер по автоматизированным системам управления производством (помощник системного администратора),19000,20000,RUR,Оренбург,2022-12-15T08:43:30+0300
Администратор баз данных,,,,Казань,2022-12-15T08:41:05+0300
Web-разработчик,,,,Пермь,2022-12-15T08:51:31+0300
Оператор станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:57:47+0300
Графический дизайнер,30000,60000,RUR,Жуковский,2022-12-15T08:57:27+0300
Инженер-программист станков с ЧПУ,80000,,RUR,Нижний Новгород,2022-12-15T08:57:59+0300
Data engineer (Python Hadoop Spark),,,,,2022-12-15T08:42:19+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
Инженер-программист,70000,,RUR,Пермь,2022-12-15T08:57:38+0300
Оператор станка с ЧПУ (лазерная резка металла),72000,86000,RUR,Санкт-Петербург,2022-12-15T08:18:17+0300
Техник по предпродажной подготовке автомобилей,50000,,RUR,Новокузнецк,2022-12-15T08:35:15+0300
Специалист (электромонтёр) охранно-пожарной сигнализации,40000,65000,RUR,Воронеж,2022-12-15T08:49:59+0300
Начальник линейно-кабельного цеха,45000,,RUR,Ульяновск,2022-12-15T08:14:11+0300
Руководитель проектов,100000,,RUR,,2022-12-15T08:32:54+0300
Системный администратор,6000000,7000000,UZS,Ташкент,2022-12-15T08:03:05+0300
Инсталлятор,35000,,RUR,,2022-12-15T08:14:14+0300
Мастер по обслуживанию абонентов,35000,,RUR,,2022-12-15T08:10:02+0300
Инженер-механик,1500,2000,BYR,агрогородок Тимковичи,2022-12-15T08:33:00+0300
Маркетолог-аналитик (ОПК),86900,112000,RUR,Москва,2022-12-15T08:30:50+0300
Техник по эксплуатации,42000,,RUR,,2022-12-15T08:11:46+0300
Программист 1С,70000,,RUR,Челябинск,2022-12-15T08:04:04+0300
PHP-разработчик,,,,,2022-12-15T08:22:34+0300
Сервис-менеджер бизнес-приложений,,,,Москва,2022-12-15T08:27:36+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000,,RUR,,2022-12-15T08:56:27+0300
Оператор станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:57:47+0300
Маркетолог-аналитик,400000,,KZT,Алматы,2022-12-15T08:03:13+0300
Электромонтёр линейных сооружений телефонной связи и радиофикации,50000,70000,RUR,Москва,2022-12-15T08:51:17+0300
Токарь,,,,Великие Луки,2022-12-15T08:52:56+0300
Инженер-электроник,40000,60000,RUR,Екатеринбург,2022-12-15T08:49:06+0300
Дизайнер,,,,,2022-12-15T08:12:24+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Техник водитель с личным автомобилем,50000,,RUR,,2022-12-15T08:38:35+0300
Инсталлятор,35000,,RUR,,2022-12-15T08:14:09+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Инженер,20000,23000,RUR,,2022-12-15T08:51:35+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
Оператор станков с ЧПУ (фрезерная ггруппа),95000,,RUR,,2022-12-15T08:22:29+0300
Ученик компьютерного мастера / Начинающий специалист / Мастер по ремонту компьютеров и ноутбуков,30000,80000,RUR,Саратов,2022-12-15T08:31:25+0300
Инженер-механик,,75400,RUR,,2022-12-15T08:44:26+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Software разработчик (Python Desktop),,,,,2022-12-15T08:34:06+0300
Специалист по предпродажной подготовке автомобилей,30000,45000,RUR,Новокузнецк,2022-12-15T08:35:15+0300
Инсталлятор,35000,,RUR,,2022-12-15T08:52:08+0300
Ведущий инженер отдела ИТ,,,,Тула,2022-12-15T08:57:49+0300
Токарь-расточник,100000,,RUR,,2022-12-15T08:22:51+0300
Руководитель проекта,,,,Пермь,2022-12-15T08:48:21+0300
Главный механик в карьер,50000,75000,RUR,село Юровка,2022-12-15T08:59:22+0300
Газорезчик,,,,Екатеринбург,2022-12-15T08:21:43+0300
SEO-специалист,,,,Армавир,2022-12-15T08:51:10+0300
Оператор станков с ПУ,60000,80000,RUR,Екатеринбург,2022-12-15T08:21:39+0300
Начальник автоколонны,80000,,RUR,,2022-12-15T08:15:26+0300
Ведущий специалист по автоматизации учета на 1С,70000,,RUR,Пермь,2022-12-15T08:28:24+0300
Оператор станков с ЧПУ (фрезерная ггруппа),95000,,RUR,,2022-12-15T08:22:21+0300
Разработчик на С под Linux (Data Plane),,,,Екатеринбург,2022-12-15T08:17:00+0300
Tech Lead (React),,,,,2022-12-15T08:41:13+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000,,RUR,,2022-12-15T08:56:27+0300
Инженер мониторинга СПД,55000,,RUR,Краснодар,2022-12-15T08:14:02+0300
Дизайнер (графический),30000,,RUR,,2022-12-15T08:38:10+0300
Техник по эксплуатации,42000,,RUR,,2022-12-15T08:11:42+0300
Инженер-механик,60000,,RUR,Пермь,2022-12-15T08:19:50+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
Токарь-расточник (сварочное производство),50000,100000,RUR,Екатеринбург,2022-12-15T08:01:11+0300
Токарь на производство,90000,,RUR,,2022-12-15T08:22:16+0300
Ведущий инженер (сетевые технологии),,,,,2022-12-15T08:17:10+0300
Токарь-фрезеровщик,60000,100000,RUR,,2022-12-15T08:34:35+0300
Software разработчик (Python Desktop),,,,,2022-12-15T08:34:11+0300
Руководитель отдела технической поддержки,,,,Екатеринбург,2022-12-15T08:16:52+0300
Менеджер проектов,24200,,RUR,Сызрань,2022-12-15T08:53:00+0300
Электромеханик связи,,1250,BYR,Минск,2022-12-15T08:58:01+0300
Токарь,,,,Екатеринбург,2022-12-15T08:16:44+0300
Главный механик дробильного оборудования,80000,,RUR,,2022-12-15T08:38:34+0300
Инженер-наладчик КИПиА,70000,70000,RUR,,2022-12-15T08:53:34+0300
Старший механик комплекса по производству компонентов взрывчатых веществ «участок Березовский»,96500,,RUR,,2022-12-15T08:16:59+0300
Оператор станков с программным управлением,45000,,RUR,Конаково,2022-12-15T08:55:43+0300
Senior/Lead C# developer,,300000,RUR,,2022-12-15T08:49:26+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:51:31+0300
"CPO (Директор по продукту, уровень C-level)",300000,,RUR,,2022-12-15T08:09:25+0300
Архитектор проекта,,,,Тольятти,2022-12-15T08:27:58+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:51:31+0300
Технический писатель,60000,,RUR,Москва,2022-12-15T08:51:17+0300
Ведущий инженер КИПиА,90000,117000,RUR,,2022-12-15T08:15:55+0300
Инженер 2 категории,,53500,RUR,,2022-12-15T08:01:39+0300
Начинающий лингвист-аналитик,25000,,RUR,Пермь,2022-12-15T09:21:41+0300
Трейдер (фьючерсы MOEX),30000,,RUR,Москва,2022-12-15T09:17:35+0300
"Инженер-наладчик, инженер по наладке и испытаниям (Бангладеш, Турция)",130000,200000,RUR,,2022-12-15T09:32:17+0300
Реквизитор бутафор / крафтер,40000,,RUR,Казань,2022-12-15T09:46:38+0300
Начинающий IT специалист,50000,,RUR,,2022-12-15T09:12:44+0300
Системный администратор,10000,,RUR,Саратов,2022-12-15T09:24:17+0300
Младший аналитик,,,,Алматы,2022-12-15T09:53:39+0300
Оператор станка с ЧПУ,30000,,RUR,Оренбург,2022-12-15T09:38:17+0300
QA Engineer,,,,,2022-12-15T09:29:56+0300
"Руководитель проектов (в сфере обучения, развития HR бренда, коммуникаций)",,,,,2022-12-15T09:35:12+0300
Коммуникационный дизайнер,,,,Москва,2022-12-15T09:49:23+0300
"Дизайнер в сеть корейской кухни ""Миринэ""",50000,60000,RUR,Владивосток,2022-12-15T09:28:02+0300
Специалист технической поддержки,,,,Москва,2022-12-15T09:11:01+0300
Программист,40000,45000,RUR,Киров,2022-12-15T09:58:28+0300
Таргетолог,80000,160000,KZT,Астана,2022-12-15T09:09:38+0300
Инженер по обслуживанию домофонов,45000,,RUR,Набережные Челны,2022-12-15T09:57:33+0300
Дизайнер,80460,,RUR,Москва,2022-12-15T09:50:39+0300
Специалист Atlassian,1000,3000,USD,Ташкент,2022-12-15T09:47:03+0300
IT System Specialist,,,,,2022-12-15T09:02:31+0300
Системный администратор,70000,70000,RUR,Краснодар,2022-12-15T09:48:22+0300
Инженер в техническое подразделение (1732),80000,,RUR,,2022-12-15T09:47:01+0300
Product Manager (Billing),,,,,2022-12-15T09:37:01+0300
"Тестировщик, ITSM продукт",,,,,2022-12-15T09:08:46+0300
Графический дизайнер,80000,,RUR,Санкт-Петербург,2022-12-15T09:15:44+0300
Руководитель проектов,75000,,RUR,,2022-12-15T09:27:23+0300
Рабочий на экструзионное производство,53000,59000,RUR,посёлок Индустриальный,2022-12-15T09:06:14+0300
Помощник медицинского техника,,194000,KZT,Экибастуз,2022-12-15T09:37:59+0300
Специалист по противодействию иностранным техническим разведкам 1 категории,,,,Тверь,2022-12-15T09:30:25+0300
Системный аналитик,200000,280000,RUR,,2022-12-15T09:42:10+0300
Программист,40000,,RUR,Краснодар,2022-12-15T09:02:40+0300
Владелец продукта,,,,,2022-12-15T09:10:49+0300
