name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист технической поддержки,110000,170000,KZT,Алматы,2022-12-22T06:49:18+0300
Креативный копирайтер в офис,80000,,RUR,Новосибирск,2022-12-22T06:29:38+0300
Руководитель отдела сервиса официального дилера,,,,Новосибирск,2022-12-22T06:27:58+0300
Дизайнер мебели по индивидуальным проектам,160000,,KZT,,2022-12-22T06:43:11+0300
Инженер мониторинга и технической поддержки,,,,Новосибирск,2022-12-22T06:40:55+0300
Руководитель проекта в офис,80000,,RUR,,2022-12-22T06:56:32+0300
Инженер технической поддержки,35000,,RUR,Красноярск,2022-12-22T06:42:09+0300
Инженер-разработчик,378000,,KZT,Сарань,2022-12-22T06:13:28+0300
Java Developer Backend,,,,Алматы,2022-12-22T06:09:26+0300
Системный администратор,40000,,RUR,Барнаул,2022-12-22T06:04:33+0300
"Инженер-программист КГКУ ""УСЗН"" (по Железнодорожному району)",45000,,RUR,Красноярск,2022-12-22T06:55:43+0300
Специалист по подключению интернета,,50000,RUR,,2022-12-22T06:09:36+0300
Наладчик ТПА,50000,,RUR,Новосибирск,2022-12-22T06:30:03+0300
Фрезеровщик,50000,,RUR,Красноармейский район,2022-12-22T06:22:58+0300
Системный администратор,50000,,RUR,посёлок Солонцы,2022-12-22T06:47:30+0300
Токарь-фрезеровщик,60000,60000,RUR,Кемерово,2022-12-22T06:12:55+0300
Оператор станка с ЧПУ,45000,,RUR,Челябинск,2022-12-22T06:48:18+0300
Ведущий инженер-программист 1С,50000,50000,RUR,,2022-12-22T06:38:49+0300
Токарь - универсал,60000,100000,RUR,Челябинск,2022-12-22T06:50:20+0300
Токарь,80000,,RUR,Челябинск,2022-12-22T06:10:21+0300
Инженер-электроник,,,,Новосибирск,2022-12-22T06:14:53+0300
Оператор станков с ЧПУ,50000,60000,RUR,Челябинск,2022-12-22T06:48:51+0300
Системный инженер (Академгородок),120000,,RUR,Новосибирск,2022-12-22T06:03:31+0300
Бизнес-аналитик,,,,,2022-12-22T06:50:57+0300
Специалист по техническим средствам и средствам связи,50000,,RUR,Кемерово,2022-12-22T06:27:15+0300
Специалист технической поддержки,,,,деревня Соболиха,2022-12-22T06:50:48+0300
Маркетолог-аналитик,80000,,RUR,Пермь,2022-12-22T06:47:31+0300
Инженер/Системный администратор,30000,35000,RUR,Челябинск,2022-12-22T06:45:17+0300
Старший механик по ЖД,35000,40000,RUR,Тюмень,2022-12-22T06:25:20+0300
Фрезеровщик,35000,40000,RUR,Томск,2022-12-22T06:38:07+0300
Токарь-карусельщик,,,,,2022-12-22T06:48:07+0300
Старший системный аналитик,,,,Москва,2022-12-22T06:53:51+0300
Middle/Senior DevOps Engineer,,,,,2022-12-22T06:52:26+0300
Токарь,45000,,RUR,,2022-12-22T06:48:04+0300
Системный аналитик (кредитное направление),,,,,2022-12-22T06:17:49+0300
Оператор станков с ЧПУ,50000,60000,RUR,Екатеринбург,2022-12-22T06:20:30+0300
Монтажник связи,30000,80000,RUR,,2022-12-22T06:32:41+0300
Junior PHP Developer,,,,Новосибирск,2022-12-22T06:18:52+0300
Старший механик комплекса по производству компонентов взрывчатых веществ «участок Березовский»,96500,,RUR,,2022-12-22T06:48:37+0300
Токарь-универсал,40000,60000,RUR,Томск,2022-12-22T06:38:19+0300
Токарь-универсал,45000,,RUR,,2022-12-22T06:48:15+0300
Java-разработчик,,,,Екатеринбург,2022-12-22T06:41:31+0300
Мастер слесарного цеха (автосервис),50000,,RUR,Тюмень,2022-12-22T06:54:15+0300
Администратор 1С,,,,Москва,2022-12-22T06:50:48+0300
Инженер-механик,105000,120000,RUR,Омск,2022-12-22T06:42:56+0300
Frontend-разработчик (Angular),,,,,2022-12-22T06:10:22+0300
Менеджер по организации работ/Инженер ПТО,60000,,RUR,Екатеринбург,2022-12-22T06:44:00+0300
PHP Developer,,,,Барнаул,2022-12-22T06:38:13+0300
